domain,period,exposure_state,origin_state,destination_state,point_estimate,simulation_median,ci95_low,ci95_high,draws
function,2013-2015,P2,F2,F0,0.3445926226764796,0.3441671645408929,0.3201538982028312,0.3727424068129415,5000
function,2013-2015,P2,F2,F1,0.104292718870945,0.1035708049627431,0.0896896429071169,0.1213713701583969,5000
function,2013-2015,P2,F2,F2,0.5279977957662482,0.5267813585549961,0.4986108091495171,0.5524437950150654,5000
function,2013-2015,P2,F2,D,0.0231168626863273,0.024388766792097,0.0194059563902336,0.0332030315736439,5000
function,2015-2018,P0,F0,F0,0.8543293632084528,0.8543826874301642,0.8475425653910241,0.8610068177069203,5000
function,2015-2018,P0,F0,F1,0.0731236286021133,0.0730851897414116,0.0677389819730068,0.0788202935117146,5000
function,2015-2018,P0,F0,F2,0.0601118116137633,0.0599071106657736,0.0555910981856912,0.0645220489370423,5000
function,2015-2018,P0,F0,D,0.0124351965756705,0.0125423739189008,0.0107854791574985,0.0146852685995252,5000
function,2015-2018,P0,F1,F0,0.5268286009002657,0.52626452288558,0.4774752957710239,0.5788834789818436,5000
function,2015-2018,P0,F1,F1,0.2954605589433812,0.2949434106745857,0.2490860444750235,0.3447332598268355,5000
function,2015-2018,P0,F1,F2,0.1625841724524032,0.1616252047676096,0.1411382501834563,0.18397146021661,5000
function,2015-2018,P0,F1,D,0.015126667703949,0.0151625612621805,0.0110828504854372,0.0253743403375674,5000
function,2015-2018,P0,F2,F0,0.27935547176543,0.2808526742681859,0.2594334097447108,0.3207175790793258,5000
function,2015-2018,P0,F2,F1,0.1251633961083064,0.1248872418372055,0.0936327059568013,0.163569582774911,5000
function,2015-2018,P0,F2,F2,0.5663908971700528,0.5629579350499787,0.530434938556982,0.5871217315194946,5000
function,2015-2018,P0,F2,D,0.0290902349562107,0.0291899832782659,0.0245894056288849,0.0351025897594403,5000
function,2015-2018,P1,F0,F0,0.8039795734377144,0.8021563433983107,0.7842155796660044,0.8185201325849384,5000
function,2015-2018,P1,F0,F1,0.0911787874051663,0.0895277838466277,0.0742733433747263,0.1045890054350165,5000
function,2015-2018,P1,F0,F2,0.0928157204204414,0.0926207190840504,0.0828326116653002,0.1039824735763452,5000
function,2015-2018,P1,F0,D,0.0120259187366774,0.0140533058010935,0.0089501764598465,0.0333769188464573,5000
function,2015-2018,P1,F1,F0,0.4420248055942068,0.4347856797215054,0.3651832758269203,0.501157609457772,5000
function,2015-2018,P1,F1,F1,0.3129571787878019,0.3034634666498257,0.2052548355813299,0.3695590594577559,5000
function,2015-2018,P1,F1,F2,0.2214603163251281,0.218000177650574,0.1608089490040663,0.2737649597181182,5000
function,2015-2018,P1,F1,D,0.0235576992928632,0.0232700557122281,0.0118265139567811,0.2339358544590352,5000
function,2015-2018,P1,F2,F0,0.256964287215296,0.2574532806152615,0.2278017804352952,0.2963952600059155,5000
function,2015-2018,P1,F2,F1,0.1283736379041878,0.125566860835825,0.0918504412332663,0.1684189558402045,5000
function,2015-2018,P1,F2,F2,0.5893611768869529,0.5852626946336161,0.5383125844831009,0.6240545076459795,5000
function,2015-2018,P1,F2,D,0.0253008979935627,0.0279817347951132,0.0208918429562864,0.0582195429783485,5000
function,2015-2018,P2,F0,F0,0.7660890024559717,0.7636037113943323,0.745467993655739,0.7782121042901345,5000
function,2015-2018,P2,F0,F1,0.1024382776920422,0.1011301482235602,0.0863239405102873,0.1165202753929806,5000
function,2015-2018,P2,F0,F2,0.124684139654707,0.1246921364206101,0.1141158453558181,0.1383782154123883,5000
function,2015-2018,P2,F0,D,0.006788580197279,0.0085184424647804,0.0051168124642658,0.029827806766811,5000
function,2015-2018,P2,F1,F0,0.4613937600320393,0.4558472586818226,0.4090268349449253,0.4948031241120376,5000
function,2015-2018,P2,F1,F1,0.2853879770820187,0.278535491529879,0.2174771475301933,0.3253079870303998,5000
function,2015-2018,P2,F1,F2,0.2330009801843121,0.2312341093469591,0.1804950484498261,0.2790478917364568,5000
function,2015-2018,P2,F1,D,0.0202172827016298,0.02072746817362,0.0102440485858324,0.1674882294895767,5000
function,2015-2018,P2,F2,F0,0.2529812408571408,0.2523023924484888,0.2332270871687201,0.2748840618207444,5000
function,2015-2018,P2,F2,F1,0.1180188223054872,0.1163556375175316,0.0993233078394571,0.1349577825676882,5000
function,2015-2018,P2,F2,F2,0.6044904333041266,0.6030048546440403,0.5803605278761043,0.6255495890946791,5000
