domain,period,exposure_state,origin_state,destination_state,point_estimate,simulation_median,ci95_low,ci95_high,draws
pain,2015-2018,F0,P0,D,0.009696470598991036,0.011155320779845379,0.008463736345362243,0.0252084428913213,5000
pain,2015-2018,F0,P1,P0,0.3354509550922299,0.33350268126473553,0.26723216916670184,0.401431024839621,5000
pain,2015-2018,F0,P1,P1,0.22258876784222306,0.2199695974179125,0.14713545287510146,0.31895463902146,5000
pain,2015-2018,F0,P1,P2,0.41238932802928774,0.4068909526591388,0.35757045905095186,0.46051583010332586,5000
pain,2015-2018,F0,P1,D,0.02957094903625912,0.030046271756634213,0.013523281232356587,0.09241849195095654,5000
pain,2015-2018,F0,P2,P0,0.15952318776816488,0.16067205009195795,0.14565647054566586,0.182439352850133,5000
pain,2015-2018,F0,P2,P1,0.08449278244036384,0.08322781829658665,0.06999268195925967,0.1001157957142843,5000
pain,2015-2018,F0,P2,P2,0.7465513220827341,0.7444345590974643,0.7236273727066417,0.7618811215643267,5000
pain,2015-2018,F0,P2,D,0.009432707708737387,0.010120431712778655,0.007287636944652859,0.01745156786215851,5000
pain,2015-2018,F1,P0,P0,0.5861871727200677,0.5832216146720282,0.5530988923732045,0.6097503487677749,5000
pain,2015-2018,F1,P0,P1,0.1226532034914249,0.12110886429190001,0.09972421147331154,0.13937022861948198,5000
pain,2015-2018,F1,P0,P2,0.27758056979802126,0.2802931387213645,0.2550751427539891,0.31367382793174897,5000
pain,2015-2018,F1,P0,D,0.01357905399048609,0.014066634085968088,0.00810942176187932,0.029836840008882017,5000
pain,2015-2018,F1,P1,P0,0.2522759992602446,0.25031810639384844,0.18603944654453247,0.32875569318565456,5000
pain,2015-2018,F1,P1,P1,0.19240007980874696,0.189239150411152,0.12575859662333566,0.29872093247698234,5000
pain,2015-2018,F1,P1,P2,0.5273372923754687,0.5212200158851583,0.44348574345800346,0.5866909942075315,5000
pain,2015-2018,F1,P1,D,0.02798662855554046,0.02766299484487772,0.014612402973705285,0.08449286168001896,5000
pain,2015-2018,F1,P2,P0,0.14294906199025778,0.14381448333743008,0.12442493747362128,0.1807924047204915,5000
pain,2015-2018,F1,P2,P1,0.07422659514359405,0.07315921759223468,0.05814276201208597,0.09163830723058367,5000
pain,2015-2018,F1,P2,P2,0.7655834077001271,0.7628861847386761,0.7349067228553249,0.7847417654692393,5000
pain,2015-2018,F1,P2,D,0.0172409351660211,0.01796832364327844,0.012923399481702454,0.02603353589794381,5000
pain,2015-2018,F2,P0,P0,0.4442443028283861,0.44204371803279696,0.4143962899694414,0.4692252747548013,5000
pain,2015-2018,F2,P0,P1,0.1445715929205102,0.14258737107786001,0.12141371137872223,0.16175295376501828,5000
pain,2015-2018,F2,P0,P2,0.3885131451986104,0.3896252831928213,0.36534542446895785,0.4165173222891163,5000
pain,2015-2018,F2,P0,D,0.02267095905249339,0.02400269454756926,0.01801890284544929,0.04408268105958814,5000
pain,2015-2018,F2,P1,P0,0.22345728613875354,0.22175208077136577,0.1683075963774175,0.28166401368780125,5000
pain,2015-2018,F2,P1,P1,0.21229137701151524,0.20970620429368408,0.1451356512347286,0.3099741123031029,5000
pain,2015-2018,F2,P1,P2,0.5277317348619349,0.5234606879617668,0.4619415756708934,0.584204318437849,5000
pain,2015-2018,F2,P1,D,0.03651960198779647,0.036900274411439504,0.0241636558210568,0.07228972590637318,5000
pain,2015-2018,F2,P2,P0,0.11191985251135175,0.11191384811641732,0.09917532479970327,0.13449932819861732,5000
pain,2015-2018,F2,P2,P1,0.0633748557123481,0.06279635956439897,0.05315629893385478,0.07474455186309859,5000
pain,2015-2018,F2,P2,P2,0.8019012135039917,0.8003843096460967,0.7828215376047808,0.8161301870913226,5000
pain,2015-2018,F2,P2,D,0.02280407827230857,0.02330840505621329,0.018408572083846143,0.030243613533058142,5000
pain,2018-2020,F0,P0,P0,0.6653186809132954,0.6650105543387916,0.6521245293691489,0.6773120150449188,5000
pain,2018-2020,F0,P0,P1,0.12386322840449616,0.12341388546080553,0.11561863325304837,0.13226388839247075,5000
pain,2018-2020,F0,P0,P2,0.1933567301198775,0.19338814847562175,0.1834278304925211,0.2043675758229754,5000
pain,2018-2020,F0,P0,D,0.017461360562330667,0.017923420845688015,0.015313868182353658,0.021556864178794398,5000
pain,2018-2020,F0,P1,P0,0.5018772751358913,0.5006692953600074,0.4721749358246458,0.528758141570739,5000
pain,2018-2020,F0,P1,P1,0.1694668427254684,0.16945351802294664,0.14882333297492048,0.19614277968581872,5000
